Word,Count
the,3121
*,2488
to,1611
a,1069
is,880
for,835
of,825
and,819
,717
in,711
if,695
on,458
element,423
we,407
from,387
that,371
-,364
or,360
it,352
be,352
when,331
value,318
not,317
jQuery,302
an,299
with,294
If,268
this,256
event,251
set,248
as,242
IE,237
by,231
are,221
date,210
object,209
@param,201
use,193
The,192
will,188
so,180
string,176
elements,175
have,172
can,161
input,156
position,155
all,155
other,149
data,147
only,143
new,142
=,133
no,128
text,125
events,120
return,118
was,116
need,115
function,112
after,111
{,111
document,110
check,109
under,109
has,109
which,108
Copyright,108
already,107
but,107
MIT,107
offset,106
should,105
case,104
false,104
class,103
method,103
don't,102
node,102
current,101
list,100
returns,97
sure,97
focus,97
callback,97
name,95
one,95
values,94
used,93
options,93
doesn't,93
Support:,92
it's,91
get,88
@property,87
This,87
nodes,87
Check,87
license,86
@default,85
@example,85
any,85
property,85
empty,84
UI,84
add,83
selection,83
Released,82
original,81
first,81
http://jquery.org/license,80
contributors,80
properties,80
Foundation,79
then,79
callbacks,79
},78
into,78
Create,77
http://jqueryui.com,77
item,76
form,76
Set,75
We,75
DOM,74
1.11.4,74
Use,74
parent,73
at,72
field,72
before,72
picker,71
container,71
attribute,70
Make,70
active,70
target,69
content,69
Only,69
type,68
option,68
up,67
@type,67
default,67
just,67
selected,67
do,66
handler,65
its,65
we're,65
them,65
display,64
format,63
disabled,63
prevent,63
helper,63
because,62
support:,62
since,61
array,61
error,61
button,61
range,60
+,60
based,59
null,59
cache,59
see,59
relative,58
attributes,58
may,58
Add,58
same,57
instead,57
avoid,57
remove,57
});,56
change,56
menu,56
For,56
true,56
Firefox,56
allow,55
needed,55
number,55
here,55
handle,55
Remove,54
call,54
(see,54
there,54
via,53
Don't,53
month,53
always,53
Get,53
show,53
click,52
support,52
you,52
tab,51
settings,51
copy,51
whether,51
given,51
1,50
native,50
make,50
where,50
been,49
See,49
html,48
using,48
{Object},48
day,48
over,48
browsers,47
user,47
within,47
context,46
css,46
@method,46
mouse,46
each,46
correct,45
year,45
dialog,44
being,44
out,44
way,44
start,44
update,44
through,43
Handle,43
0,43
clear,43
key,43
browser,43
A,42
more,42
ready,42
without,42
methods,42
trigger,42
datepicker,42
time,42
items,42
than,41
element's,41
also,41
),40
order,40
internal,40
setting,40
global,39
possible,39
inside,39
response,39
still,39
work,39
state,38
2,38
var,38
HTML,38
instance,38
does,38
right,37
names,37
next,37
//,37
create,37
custom,37
absolute,37
placeholder,37
once,37
some,37
pass,36
========================================================================,36
back,36
specified,36
Opera,36
week,36
positioned,35
can't,35
objects,35
gets,35
inline,35
passed,35
special,34
TODO:,34
&,34
->,34
changed,34
dataType,34
editable,34
otherwise,34
directly,34
defined,33
our,33
size,33
convert,33
command,33
bug,33
@return,33
called,33
styles,32
open,32
now,32
later,32
header,32
removed,32
hide,32
done,32
child,32
Effects,32
close,32
previous,32
style,32
submit,32
like,31
containers,31
following,31
request,31
fire,31
old,31
url,31
both,31
widget,31
ajax,31
---------,30
server,30
argument,30
scroll,30
must,30
handlers,30
end,30
isn't,30
width,30
True,30
IE<9,29
Prevent,29
-->,29
IE8,29
source,29
reset,29
contentEditable,28
either,28
want,28
actual,28
above,28
table,28
index,28
height,28
moved,28
currently,28
Otherwise,27
undefined,27
functions,27
/,27
store,27
run,27
find,27
div,27
Safari,27
single,27
matched,26
itself,26
Update,26
WebKit,26
caret,26
Returns,26
outside,26
tooltip,26
selector,26
When,26
try,26
properly,26
move,26
days,26
script,26
months,26
division,26
dom,26
shown,26
boolean,26
works,26
throws,26
blur,26
line,25
\null,\,25
else,25
mode,25
they,25
valid,25
iframe,25
=>,25
(,25
children,25
Licensed,25
multiple,25
step,25
showing,25
link,25
automatically,24
keep,24
provided,24
Whether,24
arguments,24
left,24
@since,24
draggable,24
against,24
types,24
window,24
changes,24
Can,24
opacity,24
their,24
Call,24
|,23
code,23
version,23
hidden,23
means,23
text:,23
checked,23
Return,23
character,23
body,23
Cache,23
restore,23
Do,23
<a,23
invalid,23
DEFINITION,23
last,23
page,23
select,23
loop,23
force,23
own,22
necessary,22
immediately,22
highlight,22
firing,22
assume,22
CSS,22
drag,22
exist,22
visible,22
even,22
animation,22
supported,22
modify,22
textarea,22
determine,22
flag,22
memory,22
causes,22
queue,22
animations,22
init,22
\element,\,21
3,21
filter,21
hook,21
{String},21
span,21
never,21
{Element},21
space,21
===,21
results,21
computed,21
cannot,21
append,21
attached,21
applied,21
(if,21
fragment,21
know,21
placement,21
buttons,21
parse,21
correctly,21
IE9,20
Ensure,20
characters,20
Animate,20
match,20
Date,20
submitted,20
second,20
include,20
around,20
wrapper,20
about,20
local,20
initial,20
boundary,20
title,20
fields,20
<script>,20
Convert,20
\1,\,20
focused,20
tests,20
existing,20
panel,20
</script>,20
Determine,20
ID,20
nothing,19
Find,19
borders,19
module,19
manager,19
..,19
stack,19
tpl,19
To,19
insert,19
Chrome,19
Inc,19
moving,19
@class,19
defaults,19
auto,19
prototype,19
tags,19
test,19
behavior,18
prevents,18
