File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\meetapp\Create.html,284,233,0,0,51,1,0,3,0,0
C:\wamp\www\meetapp\flatly.html,1275,1159,16,0,114,1,2,8,0,0
C:\wamp\www\meetapp\Manage.html,132,110,0,0,22,1,0,3,0,0
C:\wamp\www\meetapp\result.html,117,92,0,0,25,1,0,3,0,0
C:\wamp\www\meetapp\view.html,332,278,0,0,54,1,0,3,0,0
C:\wamp\www\meetapp\ViewTest.html,315,255,3,0,60,1,0,3,0,0
C:\wamp\www\meetapp\welcome.html,95,85,0,0,10,1,0,3,0,0
C:\wamp\www\meetapp\ajaxLogin.js,40,38,23,3,1,0,1,1,0,0
C:\wamp\www\meetapp\ajaxRegister.js,44,39,24,3,4,0,1,1,0,0
C:\wamp\www\meetapp\create.js,49,36,35,2,10,0,3,6,0,0
C:\wamp\www\meetapp\getAll.js,21,16,14,0,5,0,0,0,0,0
C:\wamp\www\meetapp\getEventInfo.js,72,55,52,2,14,0,3,14,0,0
C:\wamp\www\meetapp\getuser.js,13,12,11,0,1,0,0,0,0,0
C:\wamp\www\meetapp\getUserInfo.js,25,20,14,2,5,0,0,0,0,0
C:\wamp\www\meetapp\getusername.js,20,15,12,1,5,0,0,0,0,0
C:\wamp\www\meetapp\handleSubmit.js,92,74,65,5,14,0,4,12,0,0
C:\wamp\www\meetapp\jquery-ui.js,16617,12619,7818,1915,2396,206,1602,11861,4,59
C:\wamp\www\meetapp\manage.js,64,49,42,4,14,0,1,6,0,0
C:\wamp\www\meetapp\option.js,589,460,333,51,95,0,34,98,0,0
C:\wamp\www\meetapp\option_old.js,508,391,288,46,87,0,30,86,0,0
C:\wamp\www\meetapp\result.js,12,10,9,1,2,0,0,0,0,0
C:\wamp\www\meetapp\view.js,900,711,493,94,137,2,52,161,0,0
C:\wamp\www\meetapp\viewtest.js,19,9,7,0,1,0,9,22,0,0
