File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\wamp\www\meetapp\getEventInfo.js,getEventInfo(),31,23,23,0,6,0,2,10,
C:\wamp\www\meetapp\getEventInfo.js,getEventDetail(),29,22,18,2,6,0,1,4,
C:\wamp\www\meetapp\getUserInfo.js,getUserInfo(),21,16,12,2,5,0,0,0,
C:\wamp\www\meetapp\getusername.js,getUsername(),14,11,10,1,3,0,0,0,
C:\wamp\www\meetapp\handleSubmit.js,handleSubmitUser(),31,23,23,2,6,0,2,6,
C:\wamp\www\meetapp\jquery-ui.js,function( target ),24,21,13,5,0,0,3,14,
C:\wamp\www\meetapp\jquery-ui.js,"function( name, object )",52,47,34,13,4,0,1,8,
C:\wamp\www\meetapp\jquery-ui.js,function( ),1,1,1,0,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,"function( method, defaultEffect )",34,34,27,5,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,function(),2,2,2,0,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,function( radio ),16,16,11,4,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,Datepicker(),88,77,27,0,0,69,11,654,
C:\wamp\www\meetapp\jquery-ui.js,datepicker_handleMouseover(),11,11,8,3,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,"datepicker_extendRemove(target, props)",8,8,6,3,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,function(options),33,26,16,9,4,0,3,25,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",95,65,40,8,18,1,12,101,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",49,37,22,2,6,0,6,12,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",47,38,18,2,6,0,3,3,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",79,60,23,4,10,2,9,85,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",12,11,5,0,1,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",58,47,24,3,7,0,4,6,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",32,29,14,2,3,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",205,157,90,20,28,3,20,74,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",60,48,23,4,7,0,5,26,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",31,29,7,0,2,0,0,0,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",45,36,19,4,6,0,3,28,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",56,43,24,3,8,0,5,30,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",46,36,19,2,6,0,4,5,
C:\wamp\www\meetapp\jquery-ui.js,"function( o, done )",29,29,7,0,0,0,0,0,
C:\wamp\www\meetapp\option.js,editable(),3,3,3,0,0,0,0,0,
C:\wamp\www\meetapp\option.js,init(),41,33,19,2,4,0,4,13,
C:\wamp\www\meetapp\option.js,clickHourlyButton(),8,8,7,0,0,0,0,0,
C:\wamp\www\meetapp\option.js,clickDailyButton(),8,8,7,0,0,0,0,0,
C:\wamp\www\meetapp\option.js,getDateDayInfo(),25,18,16,3,5,0,2,13,
C:\wamp\www\meetapp\option.js,repaint(),12,11,7,2,1,0,0,0,
C:\wamp\www\meetapp\option.js,repaintDaily(),12,11,7,2,1,0,0,0,
C:\wamp\www\meetapp\option.js,generateHourlyTable(),198,147,112,20,35,0,16,44,
C:\wamp\www\meetapp\option.js,generateDailyTable(),212,167,124,20,33,0,12,28,
C:\wamp\www\meetapp\option.js,handleClickUpdate(),14,12,8,2,2,0,0,0,
C:\wamp\www\meetapp\view.js,customlayout(),12,11,7,1,1,0,0,0,
C:\wamp\www\meetapp\view.js,editable(),3,3,3,0,0,0,0,0,
C:\wamp\www\meetapp\view.js,getVar(),32,28,20,8,4,0,0,0,
C:\wamp\www\meetapp\view.js,initOption(),46,35,21,2,7,0,4,13,
C:\wamp\www\meetapp\view.js,getValidCell(),12,11,6,3,1,0,0,0,
C:\wamp\www\meetapp\view.js,isValid(x),13,13,7,4,0,0,0,0,
C:\wamp\www\meetapp\view.js,repaint(),13,13,9,2,0,0,0,0,
C:\wamp\www\meetapp\view.js,clickHourlyButton(),8,8,7,0,0,0,0,0,
C:\wamp\www\meetapp\view.js,clickDailyButton(),8,8,7,0,0,0,0,0,
C:\wamp\www\meetapp\view.js,repaintDaily(),12,11,7,2,1,0,0,0,
C:\wamp\www\meetapp\view.js,drawHourlyTable(),219,156,119,22,41,0,22,56,
C:\wamp\www\meetapp\view.js,drawDailyTable(),223,180,133,21,31,0,12,28,
C:\wamp\www\meetapp\view.js,drawCorrectGrid(),3,3,3,2,0,0,0,0,
C:\wamp\www\meetapp\view.js,handleClickUpdate(),13,12,8,2,1,0,0,0,
C:\wamp\www\meetapp\view.js,getDateDayInfo(),25,18,16,3,5,0,2,13,
C:\wamp\www\meetapp\view.js,showPeopleNumber(),100,85,57,16,9,1,6,29,
C:\wamp\www\meetapp\welcome.js,joinbutton(),6,5,5,0,1,0,0,0,
C:\wamp\www\meetapp\welcome.js,loginbutton(),6,5,5,0,1,0,0,0,
C:\wamp\www\meetapp\welcome.js,formredirect(),1,1,1,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,"function(api, module)",368,292,199,74,50,2,26,178,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,"function(api, module)",1193,887,671,154,215,4,91,707,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,"function(api, module)",567,344,308,47,112,0,111,1080,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,"function(api, module)",788,633,528,106,99,0,56,510,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,"function(_instance, _static)",42,32,30,6,3,3,7,45,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,function(rules),21,17,13,3,4,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,"function(element, eventNames, handler)",44,41,30,6,3,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,"function(element, newNodeName)",9,9,7,2,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.js,function(node),16,14,11,3,2,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,window.rangy=function(),7,7,35,1,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,"Base.extend=function(b,c)",1,1,4,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,wysihtml5.lang.array=function(b),1,1,5,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,wysihtml5.dom.convertToList=function(),1,1,6,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,wysihtml5.dom.getParentElement=function(),1,1,9,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,wysihtml5.dom.getStyle=function(),1,1,10,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,wysihtml5.dom.insertCSS=function(b),1,1,3,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,"wysihtml5.dom.observe=function(b,c,a)",1,1,6,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,wysihtml5.dom.parse=function(),6,6,28,0,0,1,0,12,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,"function(a,c,d,e)",1,1,1,0,0,0,0,0,
C:\wamp\www\meetapp\inputs-ext\wysihtml5\bootstrap-wysihtml5-0.0.2\wysihtml5-0.3.0.min.js,wysihtml5.dom.replaceWithChildNodes=function(b),1,1,2,0,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\index.html,function(),2,2,2,0,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\index.html,function(),2,2,2,0,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,function( target ),24,21,13,5,0,0,3,14,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( name, object )",52,47,34,13,4,0,1,8,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,function( ),1,1,1,0,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( method, defaultEffect )",34,34,27,5,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,function(),2,2,2,0,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,function( radio ),16,16,11,4,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,Datepicker(),88,77,27,0,0,69,11,654,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,datepicker_handleMouseover(),11,11,8,3,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"datepicker_extendRemove(target, props)",8,8,6,3,0,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,function(options),33,26,16,9,4,0,3,25,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",95,65,40,8,18,1,12,101,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",49,37,22,2,6,0,6,12,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",47,38,18,2,6,0,3,3,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",79,60,23,4,10,2,9,85,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",12,11,5,0,1,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",58,47,24,3,7,0,4,6,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",32,29,14,2,3,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",205,157,90,20,28,3,20,74,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",60,48,23,4,7,0,5,26,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",31,29,7,0,2,0,0,0,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",45,36,19,4,6,0,3,28,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",56,43,24,3,8,0,5,30,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",46,36,19,2,6,0,4,5,
C:\wamp\www\meetapp\jquery-ui\jquery-ui.js,"function( o, done )",29,29,7,0,0,0,0,0,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),6,6,3,1,0,0,0,0,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),49,36,13,7,10,1,3,12,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),84,48,10,8,27,1,9,27,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),106,71,18,12,26,0,9,25,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),227,167,32,31,52,4,8,24,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),201,140,24,21,53,1,8,19,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),151,96,18,23,46,3,9,34,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),329,246,55,27,74,9,9,65,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),465,343,80,52,110,5,12,83,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),98,60,14,12,28,1,10,47,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),162,118,24,20,36,0,8,15,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),143,101,19,11,34,2,8,21,
C:\wamp\www\meetapp\js\bootstrap.js,+function($),152,101,19,23,43,0,8,15,
C:\wamp\www\meetapp\js\bootstrap.min.js,"Error(""Bootstrap's JavaScript requires jQuery"");+function(a)",1,1,1,0,0,0,0,0,
